,Tag,Sha
0,v7.9.0,a479a2a7fce0389512d6a9361301708b92dff667
1,v7.8.1,b5ca9c58fb664ca8bf9e4057fc229b3396bf3a89
2,v7.8.0,757314695644ea9a1dc2fecd26d1a43856725e65
3,v7.7.1,ad56dce891c901a492bb1ee393f12dfff473a423
4,v7.7.0,81a1e9eda8e6183f5237786246f6dced26a10eaf
5,v7.6.2,ef48eb35cf30adf4db14086e8aabd07ef6fb113f
6,v7.6.1,aa751e09be0a5072e8570670309b1f12348f023b
7,v7.6.0,7f634e9f44834fbc12724506cc1da681b0c3b1e3
8,v7.5.2,8bec50e1e0ad29dad5653712cf3bb580cd1afcdf
9,v7.5.1,3ae9ac9a93c95bd0cdc054951cf95d88e1e18d96
10,v7.5.0,e9ccaed468e2fac2275a3761849cbee64b39519f
11,v7.4.2,2f90bbf7b93631e52bafb59b3b049cb44ec25e96
12,v7.4.1,fc0eeb6e2c25915d63d871d344e3d0b45ea0ea1e
13,v7.4.0,22e1767283e61a198cb4db791ea66e3f11ab9910
14,v7.3.2,1c1faf179b40cccb785fb00bf32b2a91176d6c85
15,v7.3.1,4749ba64e73e5f6cee665ac89b38837b17a28e7b
16,v7.3.0,de777fa3ccb919c60893df25eba0f37c1586804d
17,v7.2.1,fe6cb20130087b7dcdeb3f1b97724a73a8581176
18,v7.2.0,508c38a450a48279bd160c6b8fb2d6703eaf1105
19,v7.1.1,7a013ded4033c6cc60ad2078f3e1f18666bec47a
20,v7.1.0,606a17333c986d191ae9ace3781028668ec24fed
21,v7.0.1,e4efcb53ec7a1f2138494c837def7c5a2aff0751
22,v7.0.0,b7e28a7232616c7a21bc879a535d801b8553ba77
23,v7.0.0-rc2,f076a79831c97c82249851f209aff6fa24a97a4d
24,v7.0.0-rc1,486505d65bdbd2a324242b64783ad87605b2d693
25,v7.0.0-beta1,15bb494041370cf0f6b4414e37be6fb7a30a06cd
26,v7.0.0-alpha2,a30e8c2fa3a8ee381c4fa6eae550681fee764cf5
27,v7.0.0-alpha1,76cefb06e31967c6db2bdb827871e8d40741473a
28,v6.8.12,7a15d2a169913a2d6116dcc081bc592fbf8d9b1c
29,v6.8.11,00bf38630844371b78c586bc32e9373e9abc8890
30,v6.8.10,537cb22e7ffb62ee541e1af1881d18e3a78e6133
31,v6.8.9,be2c7bf0f8427387e84c68ad8d2d9abbc60a64da
32,v6.8.8,2f4c2240ecfc520baef4353a726f13fc59c12066
33,v6.8.7,c63e621eaba638f77ebb10e03f7637688eb0a726
34,v6.8.6,3d9f765bcad28244dc4c8eb8e8b7ba97ba5408f1
35,v6.8.5,78990e93431aebcc3dcd7fa20fab4b5b29ab7988
36,v6.8.4,bca0c8d6a8e62c36e3f9e7673017393dcef557b6
37,v6.8.3,0c48c0e73be564f3a8a286b2165d50de2fbbb661
38,v6.8.2,b506955f8d442c5c1659fd3840d8db14b3f969d1
39,v6.8.1,1fad4e151bb040475a9f3915f3d0e369013ab057
40,v6.8.0,65b617983001fae217e1d00d9d2361d70d496075
41,v6.7.2,56c6e4869ac8c10a89de1f31252f90fc3002a030
42,v6.7.1,2f3222067e653228da62d38af51f640e41eaee86
43,v6.7.0,8453f7701de25c467ce08088ddddac185cb8028c
44,v6.6.2,3bd3e59556628bb84c8d53b09b10c9ac8255e251
45,v6.6.1,1fd8f691bf2e467057b864eea9103a6e3345af3e
46,v6.6.0,a9861f45c9857d45a4e452b954a6b08989c37d2c
47,v6.5.4,d2ef93dff175ba22406054bf78137679a0e7990c
48,v6.5.3,159a78ab02ef2000136096c4dfee3eb5882306bb
49,v6.5.2,9434bed88f889c7a0b42ad64355a2979fefe08af
50,v6.5.1,8c58350faa7a6d93d107e35e0a3e7b6beee090ec
51,v6.5.0,816e6f6a08be821d8ec01b51bf383544d1e341b0
52,v6.4.3,fe40335c1e4fa7db9e38001fa99d19526f3bc5ce
53,v6.4.2,04711c21227efda954d15c23857ad04b9f669076
54,v6.4.1,e36acdb78ec6499be861ae1b2dac264cce2f8b10
55,v6.4.0,595516e45d054483dcdaf12f0468a59cb34bb568
56,v6.3.2,053779d202567ea34577525eb622236c08da68cb
57,v6.3.1,eb782d0ce5f97e14309637674ec60d35ec991049
58,v6.3.0,424e937a209c06d6717989ef5a10ea557049c7f1
59,v6.2.4,ccec39f080c7c5d352378b73c507c1c334e6e27d
60,v6.2.3,c59ff00e227107e88d289dfefc67fe530324c67a
61,v6.2.2,10b1eddafbeefe4e71c5f0d16241b00c8c00dc2b
62,v6.2.1,7299dc32f4f99e0b75abfa5052e965f5b26f2808
63,v6.2.0,37cdac16ade656943c6518357df8464f686cb814
64,v6.1.4,d838f2d7ce69a723e3e13d3aed146add28811e78
65,v6.1.3,af51318f6aea4506cff85dcff4cb99c86212f84c
66,v6.1.2,5b1fea58947fad5b19398a12c50b49fbeebfb722
67,v6.1.1,bd92e7fa5e5fdc625249707ecf371781b157d668
68,v6.1.0,c0c1ba0c583e59d82fa980dc41f801ac2637fd47
69,v6.0.1,601be4afc4293b7b65327267bf6b91dde64bfc3e
70,v6.0.0,8f0685b924b9159807704ec2593b26e28105da44
71,v6.0.0-rc2,119515d4728223bae258aea77fae8ac40369b9b4
72,v6.0.0-rc1,b9c0df26543ceb25ca19519069d3197f126536fb
73,v6.0.0-beta2,23ffa4fdc2e2a6653171ba7c0fa96ff06bc8ca2c
74,v6.0.0-beta1,896afa4414e42b84408ecbca6ad66a43f65a13ae
75,v6.0.0-alpha2,0424099674571fac2ff26188bb6b9d2860be605a
76,v6.0.0-alpha1,017411929664bba1d01ee5420d4316939b7c5509
77,v5.6.16,59bb0dc17971b8e8d1376fc28f26aaf28acc164e
78,v5.6.15,fe7575a32e23e15e0a77677dc1a180206554228b
79,v5.6.14,f310fe981788040a9cbbc2366c369afb0b48727e
80,v5.6.13,4d5320bd33d4392a48dda37c4602dbe1b6a5b6cb
81,v5.6.12,cfe3d9f611a328cfffc18b445b3aecb016349514
82,v5.6.11,29fc4a2b4bdf4d27088bd0add1faa328c9b6ee18
83,v5.6.10,b727a60574959caa83d7767b8d7cfe1c20288cd7
84,v5.6.9,877a5900c4abea519e4795cf46cf6231b92a2d17
85,v5.6.8,688ecce2a28eb6e1e1a357c538200e375c536471
86,v5.6.7,4669214b95fce6182f4a3623bf73e2495008cfc1
87,v5.6.6,7d99d36f85ca43df870923004a04267b74e32498
88,v5.6.5,6a3757194556139af48f472b1a08985a77b73b80
89,v5.6.4,8bbedf5fe55fa22888e107898e5c16ca7f82c636
90,v5.6.3,1a2f2657be59b98ba20133ea3e8b66eb72c076b0
91,v5.6.2,57e20f3c86c8af747761149eb7eefbf7caea4b9a
92,v5.6.1,667b4976e31f646de58794d03306ab8bfd4f743b
93,v5.6.0,781a83507f0598b36512cba088ffeefa73b4bbe6
94,v5.5.3,9305a5e8d8f0b3bbab3872cf2f0aee45d72a8aea
95,v5.5.2,b2f0c096c18393e016cb0ad89fcb9db6bdcd5907
